股票代码,买入日期,买入价格,卖出日期,卖出价格,持仓天数,收益率,卖出原因
000002,2024-04-29,6.77,2024-04-30,7.41,1,0.09293471196454965,Maximum_Holding_Period
000004,2023-09-01,16.2,2023-09-04,16.7,1,0.029264197530864112,Maximum_Holding_Period
000004,2024-04-30,10.21,2024-05-06,10.44,1,0.020926934378060525,Trend_Break_Stop
000006,2022-12-19,5.47,2022-12-20,5.57,1,0.016681535648994706,Trend_Break_Stop
000006,2025-04-14,6.23,2025-04-15,6.28,1,0.006425682182985605,Maximum_Holding_Period
000006,2026-06-22,8.1,2026-06-23,7.694999999999999,1,-0.05160000000000004,Extreme_Risk_Stop
000009,2020-03-26,6.39,2020-03-27,6.070499999999999,1,-0.05160000000000004,Extreme_Risk_Stop
000009,2021-09-23,21.96,2021-09-24,21.36,1,-0.02892240437158473,Trend_Break_Stop
000009,2021-10-19,17.45,2021-10-20,18.88,1,0.08034842406876778,Maximum_Holding_Period
000011,2020-09-22,18.02,2020-09-23,18.07,1,0.001174694783573839,Maximum_Holding_Period
000011,2022-05-06,11.45,2022-05-09,11.38,1,-0.007713537117903855,Trend_Break_Stop
000012,2022-05-06,5.65,2022-05-09,5.68,1,0.0037097345132742114,Maximum_Holding_Period
000014,2022-05-06,10.42,2022-05-09,10.55,1,0.010876007677543199,Trend_Break_Stop
000017,2020-06-03,2.3,2020-06-04,2.43,1,0.0549217391304349,Maximum_Holding_Period
000017,2024-03-21,9.86,2024-03-22,9.66,1,-0.021883975659229126,Trend_Break_Stop
000025,2022-05-06,11.05,2022-05-09,11.37,1,0.027359276018099444,Maximum_Holding_Period
000030,2020-03-26,5.42,2020-03-27,5.2,1,-0.04219040590405904,Trend_Break_Stop
000032,2020-03-23,15.92,2020-03-24,15.123999999999999,1,-0.05160000000000004,Extreme_Risk_Stop
000037,2022-07-06,8.41,2022-07-07,8.17,1,-0.0301374554102259,Trend_Break_Stop
000039,2021-02-10,13.99,2021-02-18,14.8,1,0.05629849892780552,Maximum_Holding_Period
000040,2020-02-10,3.36,2020-02-11,3.41,1,0.01328095238095255,Maximum_Holding_Period
000048,2022-05-06,19.22,2022-05-09,19.44,1,0.009846409989594341,Maximum_Holding_Period
000056,2023-12-04,4.16,2023-12-05,4.06,1,-0.025638461538461676,Trend_Break_Stop
000056,2024-11-29,2.72,2024-12-02,3.03,1,0.11237058823529393,Maximum_Holding_Period
000059,2021-10-22,6.97,2021-10-25,6.88,1,-0.014512482065997156,Maximum_Holding_Period
000060,2026-07-24,6.25,2026-07-27,6.27,1,0.0015999999999998698,Maximum_Holding_Period
000062,2024-09-24,28.62,2024-09-25,27.189,1,-0.05160000000000004,Extreme_Risk_Stop
000065,2022-05-06,7.2,2022-05-09,7.48,1,0.037288888888888976,Maximum_Holding_Period
000065,2022-05-10,7.34,2022-05-11,7.6,1,0.03382234332425065,Maximum_Holding_Period
000066,2022-05-06,8.76,2022-05-09,9.79,1,0.11597990867579892,Maximum_Holding_Period
000066,2024-12-05,17.53,2024-12-06,17.54,1,-0.00102954934398176,Maximum_Holding_Period
000066,2026-06-17,16.4,2026-06-18,17.84,1,0.08620487804878056,Maximum_Holding_Period
000066,2026-08-07,14.68,2026-08-10,14.71,1,0.00044359673024523417,Maximum_Holding_Period
000069,2022-05-17,5.87,2022-05-18,5.71,1,-0.028857240204429323,Trend_Break_Stop
000070,2026-08-05,13.11,2026-08-06,14.26,1,0.08611929824561408,Maximum_Holding_Period
000078,2020-04-08,4.76,2020-04-09,4.83,1,0.013105882352941346,Maximum_Holding_Period
000078,2025-12-19,4.23,2025-12-22,4.1,1,-0.032332860520094715,Trend_Break_Stop
000078,2026-01-09,3.66,2026-01-12,3.71,1,0.012061202185792253,Maximum_Holding_Period
